R,M,Pi,Theta,Rho,alpha,R_pres
1,0.8,1,1,1,15,1
1.016666667,0.783683071,1.015164946,1.004602799,1.010513754,14.86740098,1.016666667
1.033333333,0.768036211,1.029662489,1.008966272,1.020512299,14.74464478,1.033333333
1.05,0.753014821,1.043529062,1.013107287,1.030028187,14.63084233,1.05
1.066666667,0.738578426,1.056798955,1.017041194,1.039091593,14.52520715,1.066666667
1.083333333,0.724690667,1.069503564,1.020781859,1.047729791,14.42704236,1.083333333
1.1,0.711318399,1.081672288,1.024341949,1.055967969,14.33572754,1.1
1.116666667,0.698431125,1.093333083,1.027733116,1.063829768,14.25070752,1.116666667
1.133333333,0.686000827,1.104512334,1.030966065,1.071337236,14.17148429,1.133333333
1.15,0.674001977,1.115234408,1.034050577,1.078510503,14.09761064,1.15
1.166666667,0.662411065,1.125522178,1.036995663,1.08536826,14.02868356,1.166666667
1.183333333,0.651206258,1.135397416,1.039809668,1.09192812,13.96433827,1.183333333
1.2,0.64036732,1.144880709,1.042500316,1.098206582,13.90424402,1.2
1.216666667,0.62987562,1.153991176,1.045074722,1.104218819,13.84810071,1.216666667
1.233333333,0.619713857,1.162746803,1.047539484,1.109978975,13.79563529,1.233333333
1.25,0.609865858,1.171164727,1.049900747,1.115500423,13.74659837,1.25
1.266666667,0.600316526,1.179261177,1.052164226,1.120795735,13.70076187,1.266666667
1.283333333,0.591051844,1.187051288,1.054335225,1.125876533,13.65791712,1.283333333
1.3,0.58205872,1.194549326,1.056418685,1.13075369,13.61787279,1.3
1.316666667,0.573324841,1.201768898,1.058419229,1.135437514,13.58045281,1.316666667
1.333333333,0.56483865,1.208722909,1.060341177,1.139937725,13.54549501,1.333333333
1.35,0.55658935,1.215423436,1.062188559,1.144263347,13.51285004,1.35
1.366666667,0.5485668,1.221881881,1.063965144,1.148422848,13.48238004,1.366666667
1.383333333,0.540761419,1.228109134,1.065674473,1.152424276,13.45395735,1.383333333
1.4,0.533164175,1.234115536,1.067319869,1.156275239,13.42746374,1.4
1.416666667,0.525766583,1.239910796,1.068904442,1.159982826,13.40278965,1.416666667
1.433333333,0.518560637,1.245504093,1.070431116,1.163553708,13.37983341,1.433333333
1.45,0.511538748,1.250904206,1.071902642,1.166994238,13.35850038,1.45
1.466666667,0.50469373,1.256119485,1.073321614,1.170310436,13.33870246,1.466666667
1.483333333,0.498018804,1.261157785,1.074690467,1.17350793,13.32035762,1.483333333
1.5,0.49150755,1.266026551,1.076011499,1.176592027,13.30338937,1.5
1.516666667,0.485153862,1.270732905,1.077286878,1.179567794,13.28772618,1.516666667
1.533333333,0.478951937,1.275283637,1.078518652,1.182440039,13.27330119,1.533333333
1.55,0.472896282,1.279685147,1.079708753,1.185213275,13.26005186,1.55
1.566666667,0.466981677,1.283943509,1.080859007,1.18789176,13.24791965,1.566666667
1.583333333,0.461203143,1.288064544,1.081971143,1.190479573,13.2368496,1.583333333
1.6,0.455555936,1.292053806,1.083046797,1.192980589,13.22679012,1.6
1.616666667,0.450035549,1.295916543,1.084087518,1.195398454,13.21769282,
1.633333333,0.444637686,1.299657743,1.085094773,1.197736618,13.20951217,
1.65,0.439358241,1.303282192,1.086069953,1.199998387,13.20220536,
1.666666667,0.434193291,1.306794463,1.087014381,1.202186913,13.195732,
